n_numbers_in,trial,accuracy
2,1,1.0
4,1,1.0
8,1,1.0
16,1,1.0
32,1,1.0
64,1,0.984375
128,1,1.0
256,1,0.078125
2,2,1.0
4,2,1.0
8,2,1.0
16,2,1.0
32,2,1.0
64,2,1.0
128,2,1.0
256,2,0.9921875
2,3,1.0
4,3,1.0
8,3,1.0
16,3,1.0
32,3,1.0
64,3,1.0
128,3,0.03125
256,3,1.0
2,4,1.0
4,4,1.0
8,4,1.0
16,4,1.0
32,4,1.0
64,4,1.0
128,4,1.0
256,4,0.1015625
2,5,1.0
4,5,1.0
8,5,1.0
16,5,1.0
32,5,1.0
64,5,1.0
128,5,0.09375
256,5,0.0078125
2,6,1.0
4,6,1.0
8,6,1.0
16,6,1.0
32,6,1.0
64,6,1.0
128,6,0.078125
256,6,0.9921875
2,7,1.0
4,7,1.0
8,7,1.0
16,7,1.0
32,7,1.0
64,7,0.953125
128,7,0.078125
256,7,0.12109375
2,8,1.0
4,8,1.0
8,8,1.0
16,8,1.0
32,8,1.0
64,8,0.078125
128,8,0.0078125
256,8,0.08203125
2,9,1.0
4,9,1.0
8,9,1.0
16,9,1.0
32,9,1.0
64,9,1.0
128,9,0.984375
256,9,1.0
2,10,1.0
4,10,1.0
8,10,1.0
16,10,1.0
32,10,1.0
64,10,1.0
128,10,1.0
256,10,0.12109375
2,11,1.0
4,11,1.0
8,11,1.0
16,11,1.0
32,11,1.0
64,11,1.0
128,11,1.0
256,11,0.0859375
2,12,1.0
4,12,1.0
8,12,1.0
16,12,1.0
32,12,1.0
64,12,1.0
128,12,1.0
256,12,1.0
2,13,1.0
4,13,1.0
8,13,1.0
16,13,1.0
32,13,1.0
64,13,1.0
128,13,1.0
256,13,0.09765625
2,14,1.0
4,14,1.0
8,14,1.0
16,14,1.0
32,14,1.0
64,14,1.0
128,14,1.0
256,14,0.01171875
2,15,1.0
4,15,1.0
8,15,1.0
16,15,1.0
32,15,1.0
64,15,1.0
128,15,1.0
256,15,0.09765625
2,16,1.0
4,16,1.0
8,16,1.0
16,16,1.0
32,16,1.0
64,16,1.0
128,16,0.9921875
256,16,0.109375
2,17,1.0
4,17,1.0
8,17,1.0
16,17,1.0
32,17,1.0
64,17,1.0
128,17,1.0
256,17,0.12109375
2,18,1.0
4,18,1.0
8,18,1.0
16,18,1.0
32,18,1.0
64,18,1.0
128,18,0.0859375
256,18,0.12109375
2,19,1.0
4,19,1.0
8,19,1.0
16,19,1.0
32,19,1.0
64,19,1.0
128,19,1.0
256,19,0.09765625
2,20,1.0
4,20,1.0
8,20,1.0
16,20,1.0
32,20,1.0
64,20,1.0
128,20,0.1015625
256,20,0.61328125
2,21,1.0
4,21,1.0
8,21,1.0
16,21,1.0
32,21,1.0
64,21,1.0
128,21,0.140625
256,21,0.125
2,22,1.0
4,22,1.0
8,22,1.0
16,22,1.0
32,22,1.0
64,22,1.0
128,22,1.0
256,22,1.0
2,23,1.0
4,23,1.0
8,23,1.0
16,23,1.0
32,23,1.0
64,23,1.0
128,23,0.0625
256,23,0.08203125
2,24,1.0
4,24,1.0
8,24,1.0
16,24,1.0
32,24,1.0
64,24,1.0
128,24,0.109375
256,24,0.07421875
2,25,1.0
4,25,1.0
8,25,1.0
16,25,1.0
32,25,1.0
64,25,1.0
128,25,0.125
256,25,1.0
2,26,1.0
4,26,1.0
8,26,1.0
16,26,1.0
32,26,1.0
64,26,1.0
128,26,0.1015625
256,26,0.1015625
2,27,1.0
4,27,1.0
8,27,1.0
16,27,1.0
32,27,1.0
64,27,0.0
128,27,0.0078125
256,27,0.99609375
2,28,1.0
4,28,1.0
8,28,1.0
16,28,0.5625
32,28,1.0
64,28,0.109375
128,28,0.0234375
256,28,1.0
2,29,1.0
4,29,1.0
8,29,1.0
16,29,1.0
32,29,1.0
64,29,1.0
128,29,0.9921875
256,29,0.09765625
2,30,1.0
4,30,1.0
8,30,1.0
16,30,1.0
32,30,1.0
64,30,1.0
128,30,0.1875
256,30,0.7109375
2,31,1.0
4,31,1.0
8,31,1.0
16,31,1.0
32,31,1.0
64,31,1.0
128,31,0.03125
256,31,0.16015625
2,32,1.0
4,32,1.0
8,32,1.0
16,32,1.0
32,32,0.40625
64,32,1.0
128,32,0.0859375
256,32,0.12890625
2,33,1.0
4,33,1.0
8,33,1.0
16,33,1.0
32,33,1.0
64,33,1.0
128,33,0.0859375
256,33,0.08984375
2,34,1.0
4,34,1.0
8,34,1.0
16,34,1.0
32,34,1.0
64,34,1.0
128,34,0.09375
256,34,0.0703125
2,35,1.0
4,35,1.0
8,35,1.0
16,35,1.0
32,35,1.0
64,35,1.0
